ID,Time,IPC∑÷¿‡
PAT153,2023,"G03F1/24, G03F1/22, G03F1/52, G03F1/70, G03F1/80, G03F7/00, G03F7/20, G03F7/26, H01L21/027"
PAT154,2021,"G03F7/20, G03F7/00"
PAT155,2022,"G03F7/20, G01B11/27, G03F1/70, G03F7/00"
PAT156,2020,"G03F7/00, H01L21/687"
PAT157,2022,G03F7/00
PAT158,2023,"G03F7/20, G03F7/00"
PAT159,2023,"G03F9/00, G03F7/00, G06T7/73"
PAT160,2023,"H01L21/66, G01R31/28, H10D84/01, H10D84/03"
PAT161,2020,"H01L23/498, H01L21/48, H01L23/00, H05K1/09"
PAT162,2023,"H05G2/00, G03F7/00"
PAT163,2022,"H10D84/03, H01L21/311, H01L21/3213, H10D64/01, H10D84/01"
PAT164,2019,"H10D48/00, B82Y10/00, B82Y40/00, H01L21/02, H01L21/04, H01L21/306, H01L21/311, H01L21/32, H10D30/43, H10D62/10, H10D64/00"
PAT165,2020,H05G2/00
PAT166,2022,"G03F1/44, G03F9/02"
PAT167,2023,"G03F1/22, G03F7/20"
PAT168,2023,"G03F1/22, G03F1/62, G03F1/66, G03F7/20"
PAT169,2020,"H01L21/768, H01L21/02, H01L21/311"
PAT170,2022,"G03F7/20, G06F30/20"
PAT171,2021,"B41C1/10, G03F7/004"
PAT172,2020,"H01L21/673, G03F1/22, G03F1/66"
PAT173,2020,"G03F7/033, C08F20/36, G03F7/038, G03F7/039, G03F7/20, G03F7/26"
PAT174,2022,"G01J3/02, G01J3/26, G02B5/20, G02B5/28, G03F7/00"
PAT175,2022,"G01M11/02, G03F1/24, G03F1/84, H01L21/66"
PAT176,2020,"B41C1/10, G03F7/00, G03F7/033, G03F7/085, G03F7/11, G03F7/30"
PAT177,2020,"G02B7/182, G02B7/02, G03F7/00"
PAT178,2022,"G03F1/24, G03F1/84, G21K1/06"
PAT179,2021,"G03F7/00, H02P7/025, H02P25/034"
PAT180,2021,"G03F1/24, G03F1/46"
PAT181,2019,"G03F1/42, G03F7/20, G03F9/00, H01L21/027"
PAT182,2020,"G03F7/20, G02B7/02, G02B7/182"
PAT183,2021,G03F7/20
PAT184,2022,G03F9/00
PAT185,2021,"B41N1/14, B41C1/10, B41M1/06, G03F7/00, G03F7/004, G03F7/029, G03F7/11"
PAT186,2021,"G03F7/20, G03F1/70, G06F30/20, G06F30/39"
PAT187,2022,"G03F1/22, H01L21/033"
PAT188,2022,"G03F1/52, G03F1/62, G03F1/64, G03F7/00"
PAT189,2021,"G03F1/84, G01N21/47, G01N21/88, G01N21/94, G03F7/20"
PAT190,2022,"G03F7/038, C08F20/18, C08F30/08, G03F7/004, G03F7/039, G03F7/075"
PAT191,2021,"G03F7/00, G03F9/00"
PAT192,2021,G03F7/00
PAT193,2022,G03F7/00
PAT194,2022,"G03F9/00, G01B11/27, G03F7/00"
PAT195,2021,"H02K41/03, G03F7/00, H01F6/06"
PAT196,2021,"G03F7/20, G01B11/00"
PAT197,2022,"G03F7/20, G03F1/84"
PAT198,2022,"H10B41/00, H10B43/00, H10B51/00, H10B53/00, H01L21/66, G03F1/00"
PAT199,2023,"B01L3/00, H05K3/06"
PAT200,2021,"G01B11/00, G03F7/20, G03F9/00, H01L21/027"
PAT201,2020,"G03F7/004, G03F7/16, G03F7/20, G03F7/32"
PAT202,2023,"H01L21/033, C23C16/26, C23C16/505, G03F7/11, G03F7/20, H01L21/02, H01L21/311, H01L21/66"
PAT203,2022,"G03F9/00, G03F7/20, G05B11/32"
PAT204,2023,"G03F1/84, G03F1/22"
PAT205,2019,"H01L21/304, H01L21/68, H01L21/687"
PAT206,2023,"G03F7/20, G02B5/09, G02B7/182"
PAT207,2017,"C11D7/02, C11D7/26, G03F7/16, G03F7/32, G03F7/40, H01L21/027, H01L21/304, H01L21/306"
PAT208,2023,"H01L21/283, H01L21/306, H10D30/60, H10D30/67, H10D64/60"
PAT209,2016,"G03F1/62, G03F7/20"
PAT210,2016,"G03F7/20, B01D67/00, G03F1/62, G21K1/06"
PAT211,2020,"G03F7/20, G03F1/00, G03F1/36"
PAT212,2019,G03F7/20
PAT213,2020,"G03F7/004, G03F7/32"
PAT214,2021,"G03F7/20, G03F9/00, H01L21/68"
PAT215,2019,"H01L21/223, H01L21/225"
PAT216,2019,"G03F7/20, H01L21/67"
PAT217,2022,G03F7/20
PAT218,2019,"G03F1/86, G03F7/00, H01J37/20"
PAT219,2019,"B01L3/00, B29C33/38, B29C39/00, B29C39/42, B29K105/00, C23C14/04, C23C14/18, G01N15/10, G01N15/1404, G03F7/00"
PAT220,2013,"G03F7/004, G03F7/039, G03F7/20"
PAT221,2021,"G03F7/039, C08F220/18, G03F7/004, G03F7/038, G03F7/20"
PAT222,2021,"G03F7/004, G03F7/16, G03F7/20, G03F7/40"
PAT223,2022,"G03F7/40, G03F7/38"
PAT224,2023,"G03F7/00, G06T7/00, H04N23/50, H04N23/695"
PAT225,2022,G03F7/00
PAT226,2021,"G03F7/00, G03F9/00, G06T7/00, G06T7/33, G06T7/73, G06V10/75, G06V10/764"
PAT227,2023,"G02B7/00, G01N21/33, G03F7/00"
PAT228,2023,"G03F7/20, G03F7/00"
PAT229,2020,G03F7/00
PAT230,2020,"H01S3/13, G03F7/00, H01S3/036, H01S3/134, H01S3/225, H01S3/23"
PAT231,2021,"G03F7/20, H05G2/00"
PAT232,2021,"G03F7/039, G03F7/20"
PAT233,2022,"G03F1/62, G03F1/24"
PAT234,2021,"G03F7/20, H01L23/00, H01L21/18, H01L21/762, H01L21/20"
PAT235,2022,"G03F1/36, G03F7/20"
PAT236,2023,G03F7/20
PAT237,2021,"G03F7/11, H01L21/027, G03F7/26, G03F7/20, C08G59/40"
PAT238,2023,"H05G2/00, G03F7/20"
PAT239,2021,"G03F1/70, G03F1/84, G03F7/20"
PAT240,2020,"G03F7/075, C08L83/04, C08L83/06, G03F7/11, G03F7/20"
PAT241,2023,"G01D11/24, G01D11/00, G03F7/00, G03F7/20"
PAT242,2019,"G03F7/20, F16F15/03"
PAT243,2016,"G03F7/20, G02B26/02"
PAT244,2019,"G03F7/20, H01L21/027, H01L21/67"
PAT245,2022,"G01J3/02, G01J3/26, G02B5/20, G02B5/28, G03F7/00"
PAT246,2021,"G03F1/60, G03F1/24"
PAT247,2018,"C08F292/00, G03F7/20, H01L21/027"
PAT248,2020,"G03F7/20, H01L21/683"
PAT249,2020,"G03F7/09, G03F7/11, G03F7/00, B41N1/14, G03F7/004, G03F7/027, G03F7/033, G03F7/029"
PAT250,2020,G03F7/20
PAT251,2022,G03F7/20
PAT252,2021,"G03F1/68, G03F7/20, G03F1/76"
PAT253,2023,G03F7/20
PAT254,2020,"G03F7/075, C08G77/26, C08L83/08, G03F7/09, G03F7/20"
PAT255,2021,"G03F1/38, G03F1/24, G03F1/26"
PAT256,2021,"G03F1/26, G03F1/24, G03F1/38"
PAT257,2022,"G03F1/26, G03F1/32, G03F1/38, H01L21/027"
PAT258,2023,"G01F7/00, B29C33/42, B29C33/62, C08F112/08, C08F120/26, C08F130/02, C08F212/08, C08F220/28, C08F230/02, G03F7/00"
PAT259,2019,"G03F7/20, G03F7/00, G05B13/02"
PAT260,2020,"G03F7/20, G02B5/08, G02B5/09, G02B5/30, G02B7/18, G02B27/28"
PAT261,2022,"C08F220/38, C08F2/24, C08F4/04, C08F220/22, C08F220/28, G03F7/004, G03F7/16, G03F7/20"
PAT262,2021,"G03F7/20, G03F1/82, G03F1/84"
PAT263,2021,"G03F1/84, G01N21/27, G03F1/22"
PAT264,2020,"H10D64/27, H10D30/60, H01L21/28, H10D30/01"
PAT265,2020,G03F9/00
PAT266,2022,"G03F1/38, G03F1/22, G03F1/24, G03F1/68"
PAT267,2021,"H01L21/67, H01L21/02, H01L21/027, H10D86/00"
PAT268,2017,"G03F1/72, G03F1/74, G03F1/84"
PAT269,2022,"G03F1/72, C23C16/04, C23C16/34, G03F1/22, G03F1/82"
PAT270,2022,"G03F1/74, G03F1/22"
PAT271,2018,"G03F7/20, B01D8/00, F04B37/08"
PAT272,2019,"G01N21/956, G01B11/25, G01N21/95, G03F1/42, G03F7/00, G03F7/20"
PAT273,2023,"G03F1/22, G03F1/74"
PAT274,2019,"G03F7/20, G03F1/62"
PAT275,2021,"G03F7/20, G02B5/08, G02B26/08, H02N2/06"
PAT276,2016,"G03F7/20, B01D67/00, G03F1/62, G21K1/06"
PAT277,2020,G03F7/20
PAT278,2018,"G03F7/20, G06T7/00, H01L21/66"
PAT279,2022,G03F7/20
PAT280,2021,"G03F7/038, G02B5/20, G03F7/004, G03F7/027, G03F7/40, G09F9/30"
PAT281,2023,G03F1/62
PAT282,2020,"G03F7/36, G03F7/004, H01L21/027, H01L21/67"
PAT283,2023,"G03F7/004, G03F7/30"
PAT284,2022,"G03F7/00, H05G2/00"
PAT285,2021,"G03F7/00, G03F1/22, G03F7/20, G06F30/398"
PAT286,2022,"G03F7/20, G03F7/00"
PAT287,2019,"H01L21/683, G11C8/16, H01L21/74, H01L21/762, H01L21/768, H01L23/00, H01L23/367, H01L23/48, H01L23/525, H01L25/00, H01L25/065, H10B10/00, H10B12/00, H10B20/00, H10B20/25, H10B41/20, H10B41/40, H10B41/41, H10B43/20, H10B43/40, H10D10/01, H10D30/01, H10D30/60, H10D30/68, H10D30/69, H10D64/01, H10D64/27, H10D84/01, H10D84/03, H10D84/85, H10D84/90, H10D86/00, H10D86/01, H10D86/40, H10D86/60, H10D88/00, H10D89/10"
PAT288,2020,"H05G2/00, G03F7/00"
PAT289,2021,"H10N60/01, C23C14/06, G03F7/20"
PAT290,2022,"G03F7/039, G03F7/20"
PAT291,2022,"H01L21/768, H01L23/535"
PAT292,2023,"H01L21/027, G03F7/20, G03F7/32, G03F7/36"
PAT293,2021,"G03F7/004, C08F20/12, G03F7/038, G03F7/039, G03F7/20, H01L21/308, H01L21/3213"
PAT294,2021,"G03F7/42, C11D7/26, C11D11/00, H01L21/027"
PAT295,2020,"G03F1/24, G03F7/20"
PAT296,2020,"G03F1/70, G06F30/367"
PAT297,2022,"G03F1/24, G03F1/60"
PAT298,2021,"G03F7/20, G03F7/213, H01L21/67"
PAT299,2023,"H01J37/304, G03F1/40, G03F1/78, H01J37/26"
PAT300,2022,"G02B13/14, G02B5/08, G02B27/00, G03F7/00, G03F7/20"
PAT301,2018,"B41C1/10, G03F7/00, G03F7/11, G03F7/30"
PAT302,2022,G03F1/62
PAT303,2021,"G03F7/20, G03F1/76"
PAT304,2019,"G03F7/20, B29C64/124, G02B5/18, G03F7/00, G03F7/16, H01L21/02, H01L21/027, H01L21/324"
PAT305,2020,"G03F1/24, G03F1/38, G03F1/42, G03F1/50, G03F1/84"
PAT306,2020,"G03F1/24, G03F1/38, G03F1/42, G03F1/50, G03F1/84"
PAT307,2021,G03F7/20
PAT308,2023,"G03F7/207, G03F7/20"
PAT309,2020,"F16K51/02, H05G2/00"
PAT310,2022,"G03F1/42, G03F1/36"
PAT311,2022,G03F1/42
PAT312,2023,"G03F1/84, G03F1/72, G03F7/00"
PAT313,2023,"G03F7/09, H01L21/027"
PAT314,2023,"G03F7/00, G02B26/08"
